1.550e-001	1.01113e+010
1.560e-001	8.78638e+009
1.570e-001	7.64038e+009
1.580e-001	6.64842e+009
1.590e-001	5.78919e+009
1.600e-001	5.04442e+009
1.610e-001	4.39841e+009
1.620e-001	3.83767e+009
1.630e-001	3.35063e+009
1.640e-001	2.92730e+009
1.650e-001	2.55912e+009
1.660e-001	2.23867e+009
1.670e-001	1.95960e+009
1.680e-001	1.71640e+009
1.690e-001	1.50432e+009
1.700e-001	1.31926e+009
1.710e-001	1.15767e+009
1.720e-001	1.01650e+009
1.730e-001	8.93081e+008
1.740e-001	7.85116e+008
1.750e-001	6.90612e+008
1.760e-001	6.07841e+008
1.770e-001	5.35302e+008
1.780e-001	4.71693e+008
1.790e-001	4.15880e+008
1.800e-001	3.66880e+008
1.810e-001	3.23836e+008
1.820e-001	2.86002e+008
1.830e-001	2.52728e+008
1.840e-001	2.23448e+008
1.850e-001	1.97668e+008
1.860e-001	1.74957e+008
1.870e-001	1.54938e+008
1.880e-001	1.37283e+008
1.890e-001	1.21704e+008
1.900e-001	1.07949e+008
1.910e-001	9.57987e+007
1.920e-001	8.50596e+007
1.930e-001	7.55629e+007
1.940e-001	6.71605e+007
1.950e-001	5.97224e+007
1.960e-001	5.31346e+007
1.970e-001	4.72968e+007
1.980e-001	4.21211e+007
1.990e-001	3.75300e+007
2.000e-001	3.34554e+007
2.010e-001	2.98375e+007
2.020e-001	2.66235e+007
2.030e-001	2.37669e+007
2.040e-001	2.12268e+007
2.050e-001	1.89669e+007
2.060e-001	1.69554e+007
2.070e-001	1.51642e+007
2.080e-001	1.35683e+007
2.090e-001	1.21458e+007
2.100e-001	1.08774e+007
2.110e-001	9.74570e+006
2.120e-001	8.73560e+006
2.130e-001	7.83361e+006
2.140e-001	7.02779e+006
2.150e-001	6.30758e+006
2.160e-001	5.66358e+006
2.170e-001	5.08749e+006
2.180e-001	4.57192e+006
2.190e-001	4.11031e+006
2.200e-001	3.69684e+006
2.210e-001	3.32632e+006
2.220e-001	2.99416e+006
2.230e-001	2.69626e+006
2.240e-001	2.42898e+006
2.250e-001	2.18906e+006
2.260e-001	1.97362e+006
2.270e-001	1.78009e+006
2.280e-001	1.60615e+006
2.290e-001	1.44978e+006
2.300e-001	1.30913e+006
2.310e-001	1.18258e+006
2.320e-001	1.06867e+006
2.330e-001	9.66088e+005
2.340e-001	8.73683e+005
2.350e-001	7.90410e+005
2.360e-001	7.15337e+005
2.370e-001	6.47631e+005
2.380e-001	5.86546e+005
2.390e-001	5.31414e+005
2.400e-001	4.81637e+005
2.410e-001	4.36677e+005
2.420e-001	3.96055e+005
2.430e-001	3.59337e+005
2.440e-001	3.26136e+005
2.450e-001	2.96106e+005
2.460e-001	2.68933e+005
2.470e-001	2.44337e+005
2.480e-001	2.22065e+005
2.490e-001	2.01892e+005
2.500e-001	1.83612e+005
2.510e-001	1.67043e+005
2.520e-001	1.52020e+005
2.530e-001	1.38392e+005
2.540e-001	1.26028e+005
2.550e-001	1.14805e+005
2.560e-001	1.04615e+005
2.570e-001	9.53595e+004
2.580e-001	8.69507e+004
2.590e-001	7.93083e+004
2.600e-001	7.23602e+004
2.610e-001	6.60413e+004
2.620e-001	6.02928e+004
2.630e-001	5.50615e+004
2.640e-001	5.02994e+004
2.650e-001	4.59631e+004
2.660e-001	4.20132e+004
2.670e-001	3.84142e+004
2.680e-001	3.51339e+004
2.690e-001	3.21432e+004
2.700e-001	2.94157e+004
2.710e-001	2.69275e+004
2.720e-001	2.46568e+004
2.730e-001	2.25841e+004
2.740e-001	2.06916e+004
2.750e-001	1.89630e+004
2.760e-001	1.73837e+004
2.770e-001	1.59404e+004
2.780e-001	1.46210e+004
2.790e-001	1.34145e+004
2.800e-001	1.23110e+004
2.810e-001	1.13013e+004
2.820e-001	1.03772e+004
2.830e-001	9.53129e+003
2.840e-001	8.75666e+003
2.850e-001	8.04713e+003
2.860e-001	7.39705e+003
2.870e-001	6.80128e+003
2.880e-001	6.25512e+003
2.890e-001	5.75432e+003
2.900e-001	5.29498e+003
2.910e-001	4.87356e+003
2.920e-001	4.48682e+003
2.930e-001	4.13182e+003
2.940e-001	3.80587e+003
2.950e-001	3.50651e+003
2.960e-001	3.23150e+003
2.970e-001	2.97880e+003
2.980e-001	2.74653e+003
2.990e-001	2.53300e+003
3.000e-001	2.33663e+003
3.010e-001	2.15601e+003
3.020e-001	1.98983e+003
3.030e-001	1.83690e+003
3.040e-001	1.69612e+003
3.050e-001	1.56650e+003
3.060e-001	1.44713e+003
